feature,importance
Rec_Rank,17.11906287543164
dunksmade,6.561869451291247
adrtg,4.583653680545597
rimmade,3.7074770996985618
dgbpm,3.2314834990658454
ht,2.994329173991443
porpag,2.9884628018958597
dreb,2.9400577683886224
team,2.783992521077094
gbpm,2.71681959184621
eFG,2.652184378445123
GP,2.5829984090253286
midmade,2.4904543197686544
ftr,2.383500586859052
blk,2.3178173340612243
drtg,2.1907691388502784
adjoe,2.1532661963398065
oreb,2.13226115488673
dbpm,2.0627321344634866
bpm,1.9182040837083836
pts,1.8371295801403065
ast,1.8209936389768149
twoPA,1.759024386632026
conf,1.7502412867959642
treb,1.7268745896960322
Ortg,1.6018237078803812
stops,1.5724284453685964
dporpag,1.5635778847161803
ogbpm,1.5441235220351825
twoPM,1.5189336825223745
FTA,1.4462569060700339
TPA,1.388459500922846
TPM,1.3803510270199082
mp,1.2850046804664232
stl,1.2320362377608662
pfr,1.1463381309570746
obpm,1.107691738433136
usg,1.0031365873088385
FTM,0.8041782666568307
